[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:44:00 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:00 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:01 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:02 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:44:03 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:03 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.107: reset 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.102: reset 1
[SISThread] <星期二 三月 17 11:44:04 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:05 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:05 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:05 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:05 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:44:05 2015> 192.168.100.106: unknow clear 1
